ID,Footfall
3725712,1023
3725812,1118
3725912,1089
3726012,1074
3726112,1244
3726212,1316
3726312,1033
3726412,993
3726512,983
3726612,1138
3726712,1157
3726812,1203
3726912,1274
3727012,776
3727112,754
3727212,901
3727312,1123
3727412,1103
3727512,1193
3727612,1345
3727712,1069
3727812,1012
3727912,933
3728012,1035
3728112,1152
3728212,1301
3728312,1447
3728412,751
3728512,736
3728612,789
3728712,967
3728812,1207
3728912,1298
3729012,1480
3729112,712
3729212,649
3729312,817
3729412,945
3729512,1195
3729612,1403
3729712,1471
3729812,871
3729912,989
3730012,979
3730112,981
3730212,1178
3730312,1316
3730412,1417
3730512,1017
3730612,985
3730712,1061
3730812,1108
3730912,1149
3731012,1293
3731112,1374
3731212,982
3731312,979
3731412,962
3731512,1040
3731612,1210
3731712,1240
3731812,1482
3731912,817
3732012,744
3732112,849
3732212,1114
3732312,1146
3732412,1305
3732512,1417
3732612,954
3732712,937
3732812,979
3732912,968
3733012,1254
3733112,1318
3733212,1440
3733312,919
3733412,1012
3733512,993
3733612,1026
3733712,1199
3733812,1287
3733912,1412
3734012,818
3734112,623
3734212,950
3734312,994
3734412,1173
3734512,1227
3734612,1307
3734712,983
3734812,845
3734912,967
3735012,884
3735112,1134
3735212,1200
3735312,1237
3735412,956
3735512,1047
3735612,1029
3735712,944
3735812,1067
3735912,1228
3736012,1362
3736112,803
3736212,811
3736312,1030
3736412,1063
3736512,1194
3736612,1249
3736712,1409
3736812,995
3736912,1012
3737012,901
3737112,1078
3737212,1189
3737312,1304
3737412,1473
3737512,823
3737612,747
3737712,801
3737812,975
3737912,1194
3738012,1245
3738112,1366
3738212,691
3738312,644
3738412,1058
3738512,1071
3738612,1150
3738712,1273
3738812,1271
3738912,948
3739012,1023
3739112,931
3739212,978
3739312,1225
3739412,1396
3739512,1437
3739612,835
3739712,754
3739812,809
3739912,997
3740012,1249
3740112,1349
3740212,1567
3740312,718
3740412,893
3740512,938
3740612,1040
3740712,1111
3740812,1184
3740912,1263
3741012,775
3741112,868
3741212,911
3741312,1130
3741412,1177
3741512,1331
3741612,1385
3741712,880
3741812,865
3741912,788
3742012,987
3742112,1160
3742212,1302
3742312,1433
3742412,1042
3742512,951
3742612,841
3742712,1057
3742812,1181
3742912,1292
3743012,1419
3743112,1024
3743212,1017
3743312,923
3743412,1078
3743512,1190
3743612,1304
3743712,1384
3743812,1054
3743912,982
3744012,994
3744112,1141
3744212,1228
3744312,1284
3744412,1473
3744512,1059
3744612,1022
3744712,985
3744812,1107
3744912,1131
3745012,1284
3745112,1285
3745212,952
3745312,1023
3745412,990
3745512,1100
3745612,1072
3745712,1216
3745812,1271
3745912,820
3746012,791
3746112,824
3746212,971
3746312,1143
3746412,1350
3746512,1311
3746612,848
3746712,1027
3746812,994
3746912,1156
3747012,1150
3747112,1311
3747212,1420
3747312,658
3747412,974
3747512,964
3747612,992
3747712,1118
3747812,1231
3747912,1462
3748012,681
3748112,748
3748212,839
3748312,1028
3748412,1137
3748512,1409
3748612,1565
3748712,649
3748812,875
3748912,992
3749012,1074
3749112,1114
3749212,1324
3749312,1388
3749412,924
3749512,727
3749612,1003
3749712,1120
3749812,1193
3749912,1177
3750012,1354
3750112,930
3750212,688
3750312,1007
3750412,993
3750512,1220
3750612,1281
3750712,1430
3750812,765
3750912,1079
3751012,973
3751112,1058
3751212,1185
3751312,1217
3751412,1384
3751512,1003
3751612,941
3751712,984
3751812,972
3751912,1157
3752012,1282
3752112,1265
3752212,752
3752312,990
3752412,1060
3752512,1064
3752612,1125
3752712,1322
3752812,1327
3752912,1075
3753012,1061
3753112,1079
3753212,1126
3753312,1122
3753412,1246
3753512,1292
3753612,840
3753712,655
3753812,874
3753912,988
3754012,1172
3754112,1299
3754212,1417
3754312,971
3754412,982
3754512,1112
3754612,1110
3754712,1143
3754812,1299
3754912,1431
3755012,763
3755112,769
3755212,825
3755312,968
3755412,1048
3755512,1384
3755612,1446
3755712,955
3755812,1013
3755912,913
3756012,1055
3756112,1168
3756212,1255
3756312,1375
3756412,935
3756512,854
3756612,988
3756712,1110
3756812,1140
3756912,1297
3757012,1426
3757112,974
3757212,1035
3757312,989
3757412,971
3757512,1266
3757612,1329
3757712,1468
3757812,765
3757912,856
3758012,1024
3758112,1075
3758212,1219
3758312,1316
3758412,1446
3758512,1133
3758612,973
3758712,948
3758812,970
3758912,1075
3759012,1286
3759112,1314
3759212,881
3759312,997
3759412,919
3759512,956
3759612,1113
3759712,1296
3759812,1406
3759912,1020
3760012,882
3760112,877
3760212,968
3760312,1160
3760412,1257
3760512,1392
3760612,988
3760712,986
3760812,923
3760912,1025
3761012,1191
3761112,1299
3761212,1428
3761312,1061
3761412,1041
3761512,1023
3761612,1083
3761712,1123
3761812,1305
3761912,1391
3762012,1119
3762112,1039
3762212,988
3762312,1110
3762412,1168
3762512,1298
3762612,1412
3762712,996
3762812,911
3762912,999
3763012,982
3763112,1089
3763212,1306
3763312,1506
3763412,743
3763512,757
3763612,727
3763712,962
3763812,1240
3763912,1410
3764012,1468
3764112,862
3764212,833
3764312,798
3764412,996
3764512,1198
3764612,1349
3764712,1447
3764812,1069
3764912,1069
3765012,1121
3765112,1118
3765212,1137
3765312,1256
3765412,1303
3765512,963
3765612,1057
3765712,1003
3765812,967
3765912,1083
3766012,1215
3766112,1468
3766212,799
3766312,837
3766412,770
3766512,998
3766612,1221
3766712,1289
3766812,1442
3766912,778
3767012,810
3767112,843
3767212,865
3767312,1178
3767412,1349
3767512,1436
3767612,792
3767712,843
3767812,865
3767912,931
3768012,1153
3768112,1275
3768212,1330
3768312,711
3768412,742
3768512,982
3768612,986
3768712,1236
3768812,1328
3768912,1478
3769012,798
3769112,812
3769212,776
3769312,987
3769412,1052
3769512,1328
3769612,1467
3769712,916
3769812,918
3769912,837
3770012,980
3770112,1196
3770212,1382
3770312,1640
3770412,730
3770512,732
3770612,857
3770712,1182
3770812,1234
3770912,1221
3771012,1471
3771112,775
3771212,812
3771312,833
3771412,1030
3771512,1191
3771612,1254
3771712,1399
3771812,837
3771912,788
3772012,856
3772112,1044
3772212,1195
3772312,1306
3772412,1404
3772512,897
3772612,1030
3772712,1033
3772812,1090
3772912,1166
3773012,1279
3773112,1392
3773212,813
3773312,990
3773412,984
3773512,1096
3773612,1177
3773712,1230
3773812,1340
3773912,827
3774012,1035
3774112,868
3774212,908
3774312,1146
3774412,1317
3774512,1443
3774612,741
3774712,593
3774812,795
3774912,1064
3775012,1106
3775112,1308
3775212,1385
3775312,1038
3775412,1009
3775512,991
3775612,1051
3775712,1118
3775812,1197
3775912,1395
3776012,846
3776112,886
3776212,932
3776312,1021
3776412,1051
3776512,1342
3776612,1331
3776712,972
3776812,820
3776912,850
3777012,960
3777112,1144
3777212,1268
3777312,1359
3777412,901
3777512,854
3777612,868
3777712,934
3777812,1225
3777912,1239
3778012,1370
3778112,767
3778212,827
3778312,930
3778412,1148
3778512,1134
3778612,1291
3778712,1380
3778812,992
3778912,729
3779012,856
3779112,921
3779212,1218
3779312,1272
3779412,1384
3779512,1081
3779612,1008
3779712,894
3779812,985
3779912,1111
3780012,1251
3780112,1315
3780212,1030
3780312,996
3780412,897
3780512,1091
3780612,1152
3780712,1315
3780812,1422
3780912,789
3781012,790
3781112,864
3781212,951
3781312,1114
3781412,1269
3781512,1337
3781612,722
3781712,693
3781812,867
3781912,904
3782012,1111
3782112,1301
3782212,1423
3782312,769
3782412,657
3782512,824
3782612,1055
3782712,1216
3782812,1240
3782912,1426
3783012,1016
3783112,1027
3783212,1038
3783312,1020
3783412,1299
3783512,1342
3783612,1420
3783712,752
3783812,755
3783912,955
3784012,1052
3784112,1135
3784212,1307
3784312,1368
3784412,959
3784512,982
3784612,991
3784712,981
3784812,1164
3784912,1324
3785012,1420
3785112,1011
3785212,963
3785312,928
3785412,1002
3785512,1179
3785612,1300
3785712,1525
3785812,749
3785912,776
3786012,814
3786112,957
3786212,1165
3786312,1308
3786412,1339
3786512,1009
3786612,1018
3786712,911
3786812,948
3786912,1319
3787012,1288
3787112,1443
3787212,798
3787312,797
3787412,954
3787512,954
3787612,1098
3787712,1301
3787812,1280
3787912,1049
3788012,1056
3788112,987
3788212,934
3788312,1116
3788412,1248
3788512,1447
3788612,1005
3788712,882
3788812,893
3788912,1083
3789012,1142
3789112,1372
3789212,1471
3789312,740
3789412,743
3789512,856
3789612,990
3789712,1220
3789812,1290
3789912,1406
3790012,804
3790112,846
3790212,1003
3790312,1001
3790412,1218
3790512,1242
3790612,1468
3790712,818
3790812,800
3790912,958
3791012,1020
3791112,1097
3791212,1269
3791312,1422
3791412,1017
3791512,996
3791612,1056
3791712,1118
3791812,1159
3791912,1317
3792012,1392
3792112,1092
3792212,1075
3792312,1060
3792412,1120
3792512,1184
3792612,1305
3792712,1482
3792812,1022
3792912,920
3793012,1003
3793112,1001
3793212,1050
3793312,1296
3793412,1333
3793512,944
3793612,900
3793712,963
3793812,989
3793912,1016
3794012,1256
3794112,1417
3794212,737
3794312,761
3794412,873
3794512,1043
3794612,1134
3794712,1267
3794812,1371
3794912,834
3795012,941
3795112,956
3795212,974
3795312,1106
3795412,1229
3795512,1307
3795612,954
3795712,658
3795812,993
3795912,1024
3796012,1157
3796112,1252
3796212,1368
3796312,1077
3796412,1006
3796512,996
3796612,940
3796712,1227
3796812,1308
3796912,1388
3797012,1088
3797112,1111
3797212,824
3797312,1048
3797412,1157
3797512,1340
3797612,1398
3797712,1112
3797812,1062
3797912,1060
3798012,1085
3798112,1186
3798212,1240
3798312,1401
3798412,1012
3798512,1026
3798612,1052
3798712,1083
3798812,1179
3798912,1323
3799012,1443
3799112,1018
3799212,1024
3799312,1095
3799412,1107
3799512,1132
3799612,1298
3799712,1441
3799812,927
3799912,988
3800012,966
3800112,1118
3800212,1156
3800312,1325
3800412,1462
3800512,899
3800612,831
3800712,893
3800812,1090
3800912,1141
3801012,1312
3801112,1424
3801212,1030
3801312,1032
3801412,906
3801512,934
3801612,1209
3801712,1358
3801812,1454
3801912,1004
3802012,834
3802112,971
3802212,1067
3802312,1159
3802412,1194
3802512,1443
3802612,1098
3802712,918
3802812,1009
3802912,1072
3803012,1122
3803112,1234
3803212,1394
3803312,1053
3803412,940
3803512,1040
3803612,1088
3803712,1186
3803812,1295
3803912,1396
3804012,1044
3804112,991
3804212,1041
3804312,1105
3804412,1146
3804512,1349
3804612,1495
3804712,991
3804812,1017
3804912,888
3805012,984
3805112,1223
3805212,1316
3805312,1477
3805412,781
3805512,809
3805612,897
3805712,936
3805812,1197
3805912,1276
3806012,1406
3806112,1023
3806212,1023
3806312,1034
3806412,1094
3806512,1153
3806612,1305
3806712,1375
3806812,980
3806912,875
3807012,797
3807112,978
3807212,1197
3807312,1408
3807412,1515
3807512,744
3807612,774
3807712,948
3807812,1082
3807912,1219
3808012,1308
3808112,1432
3808212,1053
3808312,1044
3808412,1046
3808512,1112
3808612,1159
3808712,1267
3808812,1439
3808912,1029
3809012,982
3809112,994
3809212,991
3809312,1152
3809412,1172
3809512,1449
3809612,754
3809712,814
3809812,964
3809912,989
3810012,1203
3810112,1309
3810212,1394
3810312,815
3810412,814
3810512,919
3810612,1011
3810712,1212
3810812,1198
3810912,1361
3811012,782
3811112,773
3811212,1027
3811312,1114
3811412,1184
3811512,1290
3811612,1371
3811712,1105
3811812,997
3811912,887
3812012,1038
3812112,1084
3812212,1261
3812312,1370
3812412,759
3812512,768
3812612,1063
3812712,1014
3812812,1152
3812912,1345
3813012,1503
3813112,838
3813212,807
3813312,811
3813412,962
3813512,1223
3813612,1233
3813712,1351
3813812,688
3813912,726
3814012,977
3814112,1067
3814212,1143
3814312,1360
3814412,1500
3814512,742
3814612,722
3814712,971
3814812,983
3814912,1148
3815012,1240
3815112,1336
3815212,866
3815312,964
3815412,882
3815512,932
3815612,1098
3815712,1173
3815812,1346
3815912,909
3816012,879
3816112,839
3816212,930
3816312,1116
3816412,1298
3816512,1385
3816612,900
3816712,859
3816812,850
3816912,975
3817012,1224
3817112,1360
3817212,1395
3817312,959
3817412,843
3817512,929
3817612,962
3817712,1099
3817812,1343
3817912,1538
3818012,973
3818112,987
3818212,1008
3818312,965
3818412,1129
3818512,1358
3818612,1494
3818712,887
3818812,1044
3818912,761
3819012,1026
3819112,1166
3819212,1318
3819312,1442
3819412,883
3819512,822
3819612,809
3819712,951
3819812,1108
3819912,1322
3820012,1497
3820112,780
3820212,842
3820312,974
3820412,1117
3820512,1116
3820612,1342
3820712,1386
3820812,997
3820912,1107
3821012,1025
3821112,1111
3821212,1134
3821312,1139
3821412,1296
3821512,1058
3821612,1005
3821712,961
3821812,937
3821912,1151
3822012,1268
3822112,1318
3822212,876
3822312,788
3822412,817
3822512,1004
3822612,1237
3822712,1317
3822812,1401
3822912,915
3823012,680
3823112,843
3823212,986
3823312,1271
3823412,1257
3823512,1433
3823612,893
3823712,919
3823812,841
3823912,950
3824012,1301
3824112,1231
3824212,1404
3824312,793
3824412,747
3824512,842
3824612,980
3824712,1223
3824812,1295
3824912,1447
3825012,933
3825112,927
3825212,974
3825312,966
3825412,1141
3825512,1255
3825612,1437
3825712,778
3825812,870
3825912,1002
